08/20/2025 06:58:43 P,CHAR LENGHT,ID,VISIBILITY,"DATE 
ADDED",SKU,NAME,ADDITIONAL NOTES,APPLICATION NOTES,PART NUMBER,PRODUCT CATEGORY,TYPE,(OLD UPC),GTIN,YEAR,PRIMARY OEM,"Additional 
OEM#",Catalog Group,MANUFACTURER,MAKE 1,ENGINE 1,ENGINE 1,ENGINE 1,ENGINE 1,ENGINE 1,ENGINE 1,ENGINE 1,Condition,IS REMAN?,ASSOCIATED CORE,CORE TYPE,JUMPFLY CATEGORY,VENDOR,VENDOR PART NUMBER,NEW QB,QB ACCOUNT,WARRANTY, PRICE , Drive On Diesel Price , VENDOR COST , ACTUAL COST , EST COST ,PROFIT,PROFIT  %,WEIGHT,"CHARGE CORE
UPFRONT",HAS CORE, CORE PRICE ,"GROUP 
NUMBER",ADF,PRICE,Non Stocking Distributor, PRICE ,Stocking Distributor, PRICE ,Non Stocking WD, PRICE ,Stocking WD, PRICE ,10%, PRICE ,15%, PRICE 
05/05/2024 09:39:59 P,,65,Both,10/13/2015,EGR679RM,Mercedes MBE4000 EGR Cooler 2003-2006: OEM 4601420679,,,EGR679RM,EGR Coolers / Valves,EGR Cooler,086547479691,00840490500204,2003-2006,4601420679,,,Tamerx Diesel Products,Mercedes,MBE4000,,,,,,,,Yes,"EGR679RM#C, EGR679RM-C30",In House Core,EGR Coolers,Tamerx,,EGR,EGR,One Million Miles or One Year," $ 1,595.00 "," $ 1,595.00 ", $ 300.00 , $ 417.38 , $ 417.38 ,"$1,177.62",73.83%,19,NO,YES, $ 350.00 ,,FIXED PRICE,$556.50,15.00%," $ 1,355.75 ",30.00%," $ 1,116.50 ",25.00%," $ 1,196.25 ",30.00%," $ 1,116.50 ",10.00%," $ 1,435.50 ",15.00%," $ 1,355.75 "
,,1268,Both,10/21/2015,EGR699RM,Dodge Ram Cummins 6.7L EGR Cooler 2007-2009,,,EGR699RM,EGR Coolers / Valves,EGR Cooler,086547479707,00840490501331,2007-2009,,,,Tamerx Diesel Products,Dodge Ram,Cummins 6.7L,,,,,,,,Yes,"EGR699RM#C, EGR699RM-C30",In House Core,EGR Coolers,Tamerx,,EGR,EGR,One Million Miles or One Year, $ 660.00 , $ 660.00 ,, $ 200.00 , $ 200.00 ,$460.00,69.70%,15,NO,YES, $ 250.00 ,,FIXED PRICE,$486.50,15.00%, $ 561.00 ,30.00%, $ 462.00 ,25.00%, $ 495.00 ,30.00%, $ 462.00 ,10.00%, $ 594.00 ,15.00%, $ 561.00 
08/13/2025 12:27:12 A,,1273,Both,10/21/2015,EGR504,International Navistar VT275 EGR Cooler 2006-2007: OEM 1845757C92,,,EGR504,EGR Coolers / Valves,EGR Cooler,086547479561,00840490501362,2006-2007,1845757C92,,N6,Tamerx Diesel Products,International Navistar,VT275,,,,,,,,Yes,"EGR504#C, EGR504-C30",In House Core,EGR Coolers,Tamerx,,EGR,EGR,One Million Miles or One Year, $ 565.00 , $ 565.00 ,, $ 425.00 , $ 425.00 ,$140.00,24.78%,5,NO,YES, $ 200.00 ,,FIXED PRICE,$416.50,15.00%, $ 480.25 ,30.00%, $ 395.50 ,25.00%, $ 423.75 ,30.00%, $ 395.50 ,10.00%, $ 508.50 ,15.00%, $ 480.25 
12/01/2023 10:53:21 P,,3243,Both,12/27/2016,EGR427RM,Volvo D11 EGR Cooler 2008-2018: OEM 85136427,,,EGR427RM,EGR Coolers / Valves,EGR Cooler,086547483773,00840490502260,2008-2018,85136427,,,Tamerx Diesel Products,Volvo,D11,,,,,,,,Yes,"EGR427RM#C, EGR427RM-C30",In House Core,EGR Coolers,Tamerx,,EGR,EGR,One Million Miles or One Year," $ 1,040.00 "," $ 1,040.00 ",, $ 550.00 , $ 550.00 ,$490.00,47.12%,42,NO,YES, $ 500.00 ,,FIXED PRICE,$836.50,15.00%, $ 884.00 ,30.00%, $ 728.00 ,25.00%, $ 780.00 ,30.00%, $ 728.00 ,10.00%, $ 936.00 ,15.00%, $ 884.00 
08/13/2025 12:17:31 A,,3244,Both,12/27/2016,EGR646RM,Volvo D16 EGR Cooler 2008-2014: OEM 85136429,,,EGR646RM,EGR Coolers / Valves,EGR Cooler,086547483766,00840490502277,2008-2014,85136429,,VM4,Tamerx Diesel Products,Volvo,D16,,,,,,,,Yes,"EGR646RM#C, EGR646RM-C30",In House Core,EGR Coolers,Tamerx,,EGR,EGR,One Million Miles or One Year," $ 1,515.00 "," $ 1,515.00 ",, $ 300.00 , $ 300.00 ,"$1,215.00",80.20%,46,NO,YES, $ 500.00 ,,FIXED PRICE,"$1,116.50",15.00%," $ 1,287.75 ",30.00%," $ 1,060.50 ",25.00%," $ 1,136.25 ",30.00%," $ 1,060.50 ",10.00%," $ 1,363.50 ",15.00%," $ 1,287.75 "
08/13/2025 12:16:49 A,,3245,Both,12/28/2016,EGR428RM,Volvo D13 EGR Cooler 2008-2017: OEM 85136428,PRE EPA17,PrE EPA17,EGR428RM,EGR Coolers / Valves,EGR Cooler,086547483780,00840490502284,2008-2017,85136428,"85124969, 22134241, 21480645",VM2,Tamerx Diesel Products,Volvo,D13,,,,,,,,Yes,"EGR428RM#C, EGR428RM-C30",In House Core,EGR Coolers,Tamerx,,EGR,EGR,One Million Miles or One Year," $ 1,040.00 "," $ 1,040.00 ",, $ 550.00 , $ 550.00 ,$490.00,47.12%,42,NO,YES, $ 500.00 ,,FIXED PRICE,$699.00,15.00%, $ 884.00 ,30.00%, $ 728.00 ,25.00%, $ 780.00 ,30.00%, $ 728.00 ,10.00%, $ 936.00 ,15.00%, $ 884.00 
08/13/2025 12:12:07 A,,3311,Both,2/3/2017,EGR498RM,"Cummins ISX12, QSX EGR Cooler 2011-2014: OEM 4352365RX",,,EGR498RM,EGR Coolers / Valves,EGR Cooler,086547485289,00840490502451,2011-2014,4352365RX,"4309498NX, 4313837",C1,Tamerx Diesel Products,Cummins,ISX12,QSX,,,,,,,Yes,"EGR498RM#C, EGR498RM-C30",In House Core,EGR Coolers,Tamerx,,EGR,EGR,One Million Miles or One Year," $ 2,195.00 "," $ 2,195.00 ",, $ 600.00 , $ 600.00 ,"$1,595.00",72.67%,40,NO,YES," $ 1,000.00 ",,FIXED PRICE,"$1,326.50",15.00%," $ 1,865.75 ",30.00%," $ 1,536.50 ",25.00%," $ 1,646.25 ",30.00%," $ 1,536.50 ",10.00%," $ 1,975.50 ",15.00%," $ 1,865.75 "
08/13/2025 12:03:17 A,,3312,Both,2/3/2017,EGR360RM,Cummins ISX15 EGR Cooler 2011-2016: OEM 4352360NX,,,EGR360RM,EGR Coolers / Valves,EGR Cooler,086547483957,00840490502468,2011-2016,4352360NX,"3689565, 3687813, 3688603, 3688606, 2882108NX, 4376143",C1,Tamerx Diesel Products,Cummins,ISX15,,,,,,,,Yes,"EGR360RM#C, EGR360RM-C30",In House Core,EGR Coolers,Tamerx,,EGR,EGR,One Million Miles or One Year," $ 1,135.00 "," $ 1,135.00 ",, $ 300.00 , $ 300.00 ,$835.00,73.57%,46,NO,YES, $ 500.00 ,,FIXED PRICE,$600.00,15.00%, $ 964.75 ,30.00%, $ 794.50 ,25.00%, $ 851.25 ,30.00%, $ 794.50 ,10.00%," $ 1,021.50 ",15.00%, $ 964.75 
06/18/2025 08:50:43 P,,3501,Both,3/25/2017,21301444,Mack AC380 EGR Cooler 2003-2007: OEM 21301444,"1 year 1,000,000 mile warranty",,21301444,EGR Coolers / Valves,EGR Cooler,086547483735,00840490502543,2003-2007,21301444,,,Tamerx Diesel Products,Mack,AC380,,,,,,,,Yes,"21301444#C, 21301444-C30",In House Core,EGR Coolers,Tamerx,,EGR,EGR,One Million Miles or One Year," $ 2,495.00 "," $ 2,495.00 ",, $ 300.00 , $ 300.00 ,"$2,195.00",87.98%,32,NO,YES, $ 500.00 ,,FIXED PRICE,"$1,396.50",15.00%," $ 2,120.75 ",30.00%," $ 1,746.50 ",25.00%," $ 1,871.25 ",30.00%," $ 1,746.50 ",10.00%," $ 2,245.50 ",15.00%," $ 2,120.75 "
,,3508,Both,5/3/2017,EGR256RM,Ford ISB 5.9L EGR Cooler 2003-2006: OEM 4089256NX,,,EGR256RM,EGR Coolers / Valves,EGR Cooler,086547479318,00840490502598,2003-2006,4089256NX,3958027,,Tamerx Diesel Products,Ford,ISB 5.9L,,,,,,,,Yes,"EGR256RM#C, EGR256RM-C30",In House Core,EGR Coolers,Tamerx,,EGR,EGR,One Million Miles or One Year, $ 470.00 , $ 470.00 ,, $ 300.00 , $ 300.00 ,$170.00,36.17%,11,NO,YES, $ 200.00 ,,FIXED PRICE,$346.50,15.00%, $ 399.50 ,30.00%, $ 329.00 ,25.00%, $ 352.50 ,30.00%, $ 329.00 ,10.00%, $ 423.00 ,15.00%, $ 399.50 
08/13/2025 12:18:05 A,,3529,Both,6/14/2017,EGR341XD,Volvo D12 EGR Cooler 2003-2007: OEM 20722340,,,EGR341XD,EGR Coolers / Valves,EGR Cooler,086547482936,00840490502703,2003-2007,20722340,,VM5,Tamerx Diesel Products,Volvo,D12,,,,,,,,Yes,"EGR341XD#C, EGR341XD-C30",In House Core,EGR Coolers,Tamerx,,EGR,EGR,Two Million Miles or Two Years, $ 850.00 , $ 850.00 ,, $ 600.00 , $ 600.00 ,$250.00,29.41%,19,NO,YES, $ 350.00 ,,FIXED PRICE,$626.50,15.00%, $ 722.50 ,30.00%, $ 595.00 ,25.00%, $ 637.50 ,30.00%, $ 595.00 ,10.00%, $ 765.00 ,15.00%, $ 722.50 
,,3542,Both,7/5/2017,EGR387RM,"Detroit 14.0L, DDEC6 EGR Cooler 2008-2010: OEM 23537387",,,EGR387RM,EGR Coolers / Valves,EGR Cooler,086547484886,00840490502741,2008-2010,23537387,,D1,Tamerx Diesel Products,Detroit,14.0L,DDEC6,,,,,,,Yes,"EGR387RM#C, EGR387RM-C30",In House Core,EGR Coolers,Tamerx,,EGR,EGR,One Million Miles or One Year, $ 851.00 , $ 851.00 ,, $ 300.00 , $ 300.00 ,$551.00,64.75%,32,NO,YES, $ 300.00 ,,FIXED PRICE,$498.01,15.00%, $ 723.35 ,30.00%, $ 595.70 ,25.00%, $ 638.25 ,30.00%, $ 595.70 ,10.00%, $ 765.90 ,15.00%, $ 723.35 
,,3543,Both,7/5/2017,EGR835XD,Detroit 60 Series EGR Cooler 2004-2007: OEM DDE/R2355288,"DDEC-IV,DDEC-V",,EGR835XD,EGR Coolers / Valves,EGR Cooler,086547479769,00840490502758,2004-2007,DDE/R2355288,,D1,Tamerx Diesel Products,Detroit,60 Series,,,,,,,,Yes,"EGR835XD#C, EGR835XD-C30",In House Core,EGR Coolers,Tamerx,,EGR,EGR,Two Million Miles or Two Years, $ 850.00 , $ 850.00 ,, $ 450.00 , $ 450.00 ,$400.00,47.06%,31,NO,YES, $ 300.00 ,,FIXED PRICE,$626.50,15.00%, $ 722.50 ,30.00%, $ 595.00 ,25.00%, $ 637.50 ,30.00%, $ 595.00 ,10.00%, $ 765.00 ,15.00%, $ 722.50 
,,3553,Both,7/20/2017,EGR835RM,Detroit 60 Series EGR Cooler 2004-2007: OEM 23535288,,,EGR835RM,EGR Coolers / Valves,EGR Cooler,086547483858,00840490502826,2004-2007,23535288,,D1,Tamerx Diesel Products,Detroit,60 Series,,,,,,,,Yes,"EGR835RM#C, EGR835RM-C30",In House Core,EGR Coolers,Tamerx,,EGR,EGR,One Million Miles or One Year, $ 660.00 , $ 660.00 ,, $ 300.00 , $ 300.00 ,$360.00,54.55%,27,NO,YES, $ 350.00 ,,FIXED PRICE,$486.50,15.00%, $ 561.00 ,30.00%, $ 462.00 ,25.00%, $ 495.00 ,30.00%, $ 462.00 ,10.00%, $ 594.00 ,15.00%, $ 561.00 
,,3563,Both,8/17/2017,5010734R92,"International Navistar MaxxForce DT, 9, 10 EGR Cooler 2011-2013",VIN# CL455336,,5010734R92,EGR Coolers / Valves,EGR Cooler,086547487573,00840490502888,2011-2013,,,N1,Tamerx Diesel Products,International Navistar,MaxxForce DT,9,10,,,,,,Yes,"5010734R92#C, 5010734R92-C30",In House Core,EGR Coolers,Tamerx,,EGR,EGR,One Million Miles or One Year," $ 2,180.00 "," $ 2,180.00 ",, $ 400.00 , $ 400.00 ,"$1,780.00",81.65%,65,NO,YES," $ 1,000.00 ",,FIXED PRICE,"$1,326.50",15.00%," $ 1,853.00 ",30.00%," $ 1,526.00 ",25.00%," $ 1,635.00 ",30.00%," $ 1,526.00 ",10.00%," $ 1,962.00 ",15.00%," $ 1,853.00 "
,,3566,Both,8/24/2017,EGR926RM,Mercedes MBE926 EGR Cooler 2007-2010: OEM A9261420379,,,EGR926RM,EGR Coolers / Valves,EGR Cooler,086547483599,00840490502895,2007-2010,A9261420379,,,Tamerx Diesel Products,Mercedes,MBE926,,,,,,,,Yes,"EGR926RM#C, EGR926RM-C30",In House Core,EGR Coolers,Tamerx,,EGR,EGR,One Million Miles or One Year, $ 949.00 , $ 949.00 ,, $ 200.00 , $ 200.00 ,$749.00,78.93%,17,NO,YES, $ 300.00 ,,FIXED PRICE,$699.30,15.00%, $ 806.65 ,30.00%, $ 664.30 ,25.00%, $ 711.75 ,30.00%, $ 664.30 ,10.00%, $ 854.10 ,15.00%, $ 806.65 
08/13/2025 12:25:38 A,,3567,Both,8/24/2017,EGR723RM,International Navistar MaxxForce 7 EGR Cooler 2008-2010: OEM 1876723C94,,,EGR723RM,EGR Coolers / Valves,EGR Cooler,086547483575,00840490502901,2008-2010,1876723C94,1877576C92,N4,Tamerx Diesel Products,International Navistar,MaxxForce 7,,,,,,,,Yes,"EGR723RM#C, EGR723RM-C30",In House Core,EGR Coolers,Tamerx,,EGR,EGR,One Million Miles or One Year," $ 1,230.00 "," $ 1,230.00 ",, $ 300.00 , $ 300.00 ,$930.00,75.61%,18,NO,YES, $ 250.00 ,,FIXED PRICE,$906.50,15.00%," $ 1,045.50 ",30.00%, $ 861.00 ,25.00%, $ 922.50 ,30.00%, $ 861.00 ,10.00%," $ 1,107.00 ",15.00%," $ 1,045.50 "
08/13/2025 12:18:43 A,,3571,Both,8/25/2017,EGR207RM,Paccar MX13 EGR Cooler 2008-2013: OEM 1933207,"OEM# 1933207, 1933207PE",,EGR207RM,EGR Coolers / Valves,EGR Cooler,086547484879,00840490502925,2008-2013,1933207,1933207PE,P1,Tamerx Diesel Products,Paccar,MX13,,,,,,,,Yes,"EGR207RM#C, EGR207RM-C30",In House Core,EGR Coolers,Tamerx,,EGR,EGR,One Million Miles or One Year," $ 1,135.00 "," $ 1,135.00 ",, $ 300.00 , $ 300.00 ,$835.00,73.57%,44,NO,YES, $ 500.00 ,,FIXED PRICE,$836.50,15.00%, $ 964.75 ,30.00%, $ 794.50 ,25.00%, $ 851.25 ,30.00%, $ 794.50 ,10.00%," $ 1,021.50 ",15.00%, $ 964.75 
06/18/2025 08:50:09 P,,3581,Both,9/1/2017,EGR444RM,"Mack AC380, E7 EGR Cooler 2003-2006: OEM 21301444","90 Day 250,000 Mile Warranty",,EGR444RM,EGR Coolers / Valves,EGR Cooler,086547483742,00840490502994,2003-2006,21301444,,,Tamerx Diesel Products,Mack,AC380,E7,,,,,,,Yes,"EGR444RM#C, EGR444RM-C30",In House Core,EGR Coolers,Tamerx,,EGR,EGR,One Million Miles or One Year," $ 2,495.00 "," $ 2,495.00 ",, $ 300.00 , $ 300.00 ,"$2,195.00",87.98%,32,YES,YES, $ 500.00 ,,FIXED PRICE,"$1,396.50",15.00%," $ 2,120.75 ",30.00%," $ 1,746.50 ",25.00%," $ 1,871.25 ",30.00%," $ 1,746.50 ",10.00%," $ 2,245.50 ",15.00%," $ 2,120.75 "
06/14/2024 11:37:29 P,,3586,Both,9/7/2017,EGR976,"International Navistar MaxxForce DT, 9, 10 EGR Cooler 2011-2015: OEM 5012354R91",,,EGR976,EGR Coolers / Valves,EGR Cooler,086547485777,00840490503007,2011-2015,5012354R91,"2513976C92, 2515854C92, 5010734R92, 1889336C98, 1883581C1, 7082870C2, 7082872C92, 1885769C91",N1,Tamerx Diesel Products,International Navistar,MaxxForce DT,9,10,,,,,,Yes,"EGR976#C, EGR976-C30",In House Core,EGR Coolers,Tamerx,,EGR,EGR,One Million Miles or One Year," $ 1,895.00 "," $ 1,895.00 ",, $ 400.00 , $ 350.00 ,"$1,495.00",78.89%,64,NO,YES," $ 1,000.00 ",,FIXED PRICE,"$1,326.50",15.00%," $ 1,610.75 ",30.00%," $ 1,326.50 ",25.00%," $ 1,421.25 ",30.00%," $ 1,326.50 ",10.00%," $ 1,705.50 ",15.00%," $ 1,610.75 "
08/13/2025 12:17:34 A,,3599,Both,11/30/2017,EGR377RM,Volvo D16 EGR Cooler 2002-2007: OEM 20847377,,,EGR377RM,EGR Coolers / Valves,EGR Cooler,086547484152,00840490503045,2002-2007,20847377,"85109695, 20801814",VM4,Tamerx Diesel Products,Volvo,D16,,,,,,,,Yes,"EGR377RM#C, EGR377RM-C30",In House Core,EGR Coolers,Tamerx,,EGR,EGR,One Million Miles or One Year," $ 2,370.00 "," $ 2,370.00 ",," $ 2,000.00 "," $ 2,000.00 ",$370.00,15.61%,39,NO,YES, $ 500.00 ,,FIXED PRICE,"$1,659.00",15.00%," $ 2,014.50 ",30.00%," $ 1,659.00 ",25.00%," $ 1,777.50 ",30.00%," $ 1,659.00 ",10.00%," $ 2,133.00 ",15.00%," $ 2,014.50 "
08/13/2025 12:28:31 A,,3603,Both,12/18/2017,EGR587RM,"International Navistar MaxxForce 11, 13 EGR Cooler 2008-2010: OEM 5010587R95",VIN# BJ365773 2007 Emissions,,EGR587RM,EGR Coolers / Valves,EGR Cooler,086547484145,00840490503052,2008-2010,5010587R95,,N3,Tamerx Diesel Products,International Navistar,MaxxForce 11,13,,,,,,,Yes,"EGR587RM#C, EGR587RM-C30",In House Core,EGR Coolers,Tamerx,,EGR,EGR,One Million Miles or One Year," $ 2,370.00 "," $ 2,370.00 ",, $ 400.00 , $ 400.00 ,"$1,970.00",83.12%,55,NO,YES, $ 500.00 ,,FIXED PRICE,"$1,746.50",15.00%," $ 2,014.50 ",30.00%," $ 1,659.00 ",15.00%," $ 2,014.50 ",30.00%," $ 1,659.00 ",10.00%," $ 2,133.00 ",15.00%," $ 2,014.50 "
08/13/2025 12:20:20 A,,3612,Both,1/27/2018,EGR475RM,"Detroit DD15, DD16 EGR Cooler 2010-2014: OEM DDE/EA4721400475",,,EGR475RM,EGR Coolers / Valves,EGR Cooler,086547484138,00840490503090,2010-2014,DDE/EA4721400475,,D2,Tamerx Diesel Products,Detroit,DD15,DD16,,,,,,,Yes,"EGR475RM#C, EGR475RM-C30",In House Core,EGR Coolers,Tamerx,,EGR,EGR,One Million Miles or One Year," $ 1,195.00 "," $ 1,195.00 ",, $ 650.00 , $ 650.00 ,$545.00,45.61%,32,NO,YES, $ 500.00 ,,FIXED PRICE,"$1,025.00",15.00%," $ 1,015.75 ",30.00%, $ 836.50 ,15.00%," $ 1,015.75 ",30.00%, $ 836.50 ,10.00%," $ 1,075.50 ",15.00%," $ 1,015.75 "
,,3621,Both,2/10/2018,286-1157RM,Caterpillar C13 EGR Cooler 2004-2007: OEM 286-1157,,,286-1157RM,EGR Coolers / Valves,EGR Cooler,086547484190,00840490503113,2004-2007,286-1157,,,Tamerx Diesel Products,Caterpillar,C13,,,,,,,,Yes,"286-1157RM#C, 286-1157RM-C30",In House Core,EGR Coolers,Tamerx,,EGR,EGR,One Million Miles or One Year, $ 851.00 , $ 851.00 ,, $ 200.00 , $ 200.00 ,$651.00,76.50%,18,NO,YES, $ 250.00 ,,FIXED PRICE,$627.17,15.00%, $ 723.35 ,30.00%, $ 595.70 ,25.00%, $ 638.25 ,30.00%, $ 595.70 ,10.00%, $ 765.90 ,15.00%, $ 723.35 
,,3641,Both,3/7/2018,EGR692RM,Cummins ISB 6.7L EGR Cooler 2011-2015: OEM 5566893,,,EGR692RM,EGR Coolers / Valves,EGR Cooler,086547486576,00840490503212,2011-2015,5566893,2881692RX,C2,Tamerx Diesel Products,Cummins,ISB 6.7L,,,,,,,,Yes,"EGR692RM#C, EGR692RM-C30",In House Core,EGR Coolers,Tamerx,,EGR,EGR,One Million Miles or One Year, $ 755.00 , $ 755.00 ,, $ 300.00 , $ 300.00 ,$455.00,60.26%,14,NO,YES, $ 250.00 ,,FIXED PRICE,$556.50,15.00%, $ 641.75 ,30.00%, $ 528.50 ,15.00%, $ 641.75 ,30.00%, $ 528.50 ,10.00%, $ 679.50 ,15.00%, $ 641.75 
,,3693,Both,5/9/2018,EGR485RM,Cummins ISC EGR Cooler 2004-2008: OEM 4955485NX,,,EGR485RM,EGR Coolers / Valves,EGR Cooler,086547484893,00840490503403,2004-2008,4955485NX,"44937496, 4943457, 4955485, 4352444, 4955485NX, 4955485RX, 4352444RX, ER9047-01",C3,Tamerx Diesel Products,Cummins,ISC,,,,,,,,Yes,"EGR485RM#C, EGR485RM-C30",In House Core,EGR Coolers,Tamerx,,EGR,EGR,12 Months or 1 Million Miles (whichever comes First)," $ 1,595.00 "," $ 1,595.00 ",, $ 500.00 ,,"$1,095.00",68.65%,27,NO,YES, $ 300.00 ,,30%,$210.00,15.00%," $ 1,355.75 ",30.00%," $ 1,116.50 ",25.00%," $ 1,196.25 ",30.00%," $ 1,116.50 ",10.00%," $ 1,435.50 ",15.00%," $ 1,355.75 "
12/01/2023 11:15:04 P,,3706,Both,5/29/2018,EGR567RM,Dodge Ram Cummins 6.7L EGR Cooler 2015-2017: OEM 6804898AA,,,EGR567RM,EGR Coolers / Valves,EGR Cooler,086547489577,00840490503489,2015-2017,6804898AA,,,Tamerx Diesel Products,Dodge Ram,Cummins 6.7L,,,,,,,,Yes,"EGR567RM#C, EGR567RM-C30",Market Core,EGR Coolers,Tamerx,,EGR,EGR,One Million Miles or One Year, $ 755.00 , $ 755.00 ,, $ 200.00 , $ 200.00 ,$555.00,73.51%,10,NO,YES, $ 250.00 ,,FIXED PRICE,$556.50,15.00%, $ 641.75 ,30.00%, $ 528.50 ,25.00%, $ 566.25 ,30.00%, $ 528.50 ,10.00%, $ 679.50 ,15.00%, $ 641.75 
08/17/2022 09:32:49 P,,3707,Both,5/30/2018,EGR056RM,International Navistar MaxxForce 15 EGR Cooler 2012-2014: OEM 3008056C95,,,EGR056RM,EGR Coolers / Valves,EGR Cooler,086547484817,00840490503496,2012-2014,3008056C95,,N3,Tamerx Diesel Products,International Navistar,MaxxForce 15,,,,,,,,Yes,"EGR056RM#C, EGR056RM-C30",In House Core,EGR Coolers,Tamerx,,EGR,EGR,One Million Miles or One Year," $ 2,085.00 "," $ 2,085.00 ",, $ 400.00 , $ 400.00 ,"$1,685.00",80.82%,85,NO,YES, $ 500.00 ,,FIXED PRICE,"$1,536.50",15.00%," $ 1,772.25 ",30.00%," $ 1,459.50 ",25.00%," $ 1,563.75 ",30.00%," $ 1,459.50 ",10.00%," $ 1,876.50 ",15.00%," $ 1,772.25 "
,,3724,Both,7/9/2018,EGR340RM,Volvo D12 EGR Cooler 2003-2007: OEM 85110346,,,EGR340RM,EGR Coolers / Valves,EGR Cooler,086547485470,00840490503649,2003-2007,85110346,2072234,VM5,Tamerx Diesel Products,Volvo,D12,,,,,,,Remanufactured,Yes,"EGR340RM#C, EGR340RM-C30",In House Core,EGR Coolers,Tamerx,,EGR,EGR,One Million Miles or One Year," $ 1,515.00 "," $ 1,515.00 ",, $ 300.00 , $ 300.00 ,"$1,215.00",80.20%,28,NO,YES, $ 500.00 ,,FIXED PRICE,"$1,116.50",15.00%," $ 1,287.75 ",30.00%," $ 1,060.50 ",25.00%," $ 1,136.25 ",30.00%," $ 1,060.50 ",10.00%," $ 1,363.50 ",15.00%," $ 1,287.75 "
,,3725,Both,7/9/2018,EGR341RM,Volvo D12 EGR Cooler 2003-2007: OEM 20722340,,,EGR341RM,EGR Coolers / Valves,EGR Cooler,086547485487,00840490503656,2003-2007,20722340,,VM5,Tamerx Diesel Products,Volvo,D12,,,,,,,,Yes,"EGR341RM#C, EGR341RM-C30",In House Core,EGR Coolers,Tamerx,,EGR,EGR,One Million Miles or One Year, $ 755.00 , $ 755.00 ,, $ 300.00 , $ 300.00 ,$455.00,60.26%,21,NO,YES, $ 350.00 ,,FIXED PRICE,$556.50,15.00%, $ 641.75 ,30.00%, $ 528.50 ,25.00%, $ 566.25 ,30.00%, $ 528.50 ,10.00%, $ 679.50 ,15.00%, $ 641.75 
03/31/2023 07:43:41 P,,3736,Both,8/7/2018,EGR784RM,Cummins ISX EGR Cooler 2007-2010: OEM 5581380,,,EGR784RM,EGR Coolers / Valves,EGR Cooler,086547485708,00840490503687,2007-2010,5581380,"4309398NX, 3689035, 4376532RX",C6,Tamerx Diesel Products,Cummins,ISX,,,,,,,,Yes,"EGR784RM#C, EGR784RM-C30",In House Core,EGR Coolers,Tamerx,,EGR,EGR,One Million Miles or One Year, $ 641.00 , $ 641.00 ,, $ 300.00 , $ 300.00 ,$341.00,53.20%,35,NO,YES, $ 250.00 ,,FIXED PRICE,$472.50,15.00%, $ 544.85 ,30.00%, $ 448.70 ,25.00%, $ 480.75 ,30.00%, $ 448.70 ,10.00%, $ 576.90 ,15.00%, $ 544.85 
10/23/2023 09:14:45 A,,3768,Both,10/4/2018,EGR904RM,Mercedes MBE904 EGR Cooler 2002-2006: OEM 9041420479,,,EGR904RM,EGR Coolers / Valves,EGR Cooler,086547479806,00840490503854,2002-2006,9041420479,,,Tamerx Diesel Products,Mercedes,MBE904,,,,,,,,Yes,"EGR904RM#C, EGR904RM-C30",In House Core,EGR Coolers,Tamerx,,EGR,EGR,One Million Miles or One Year, $ 660.00 , $ 660.00 ,, $ 200.00 , $ 200.00 ,$460.00,69.70%,11,NO,YES, $ 150.00 ,,FIXED PRICE,$416.50,15.00%, $ 561.00 ,30.00%, $ 462.00 ,25.00%, $ 495.00 ,30.00%, $ 462.00 ,10.00%, $ 594.00 ,15.00%, $ 561.00 
,,3770,Both,10/12/2018,EGR862,International Navistar MaxxForce 13 EGR Cooler 2011-2014: OEM 3015862C94,Low Temp Cooler,,EGR862,EGR Coolers / Valves,EGR Cooler,086547485074,00840490503861,2011-2014,3015862C94,,N3,Tamerx Diesel Products,International Navistar,MaxxForce 13,,,,,,,,Yes,"EGR862#C, EGR862-C30",In House Core,EGR Coolers,Tamerx,,EGR,EGR,One Million Miles or One Year," $ 1,230.00 "," $ 1,230.00 ",, $ 400.00 , $ 400.00 ,$830.00,67.48%,40,NO,YES, $ 500.00 ,,FIXED PRICE,$906.50,15.00%," $ 1,045.50 ",30.00%, $ 861.00 ,25.00%, $ 922.50 ,30.00%, $ 861.00 ,10.00%," $ 1,107.00 ",15.00%," $ 1,045.50 "
,,3771,Both,10/12/2018,EGR254,"International Navistar MaxxForce 13, 11 EGR Cooler 2011-2014: OEM 3014254C96",High Temp Cooler,,EGR254,EGR Coolers / Valves,EGR Cooler,086547485067,00840490503878,2011-2014,3014254C96,,N3,Tamerx Diesel Products,International Navistar,MaxxForce 13,11,,,,,,,Yes,"EGR254#C, EGR254-C30",In House Core,EGR Coolers,Tamerx,,EGR,EGR,One Million Miles or One Year," $ 1,230.00 "," $ 1,230.00 ",, $ 400.00 , $ 400.00 ,$830.00,67.48%,51,NO,YES, $ 500.00 ,,FIXED PRICE,$906.50,15.00%," $ 1,045.50 ",30.00%, $ 861.00 ,25.00%, $ 922.50 ,30.00%, $ 861.00 ,10.00%," $ 1,107.00 ",15.00%," $ 1,045.50 "
